# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	44500
#@/user_id	win_home_mypc
a 	工	c=52 d=4.73243 t=44500
aa 	式	c=5 d=0.77228 t=44500
aaqk 	匿名	c=1 d=2.05332e-23 t=44500
ab 	节	c=3 d=0.195363 t=44500
abhk 	节点	c=11 d=0.939566 t=44500
abit 	节省	c=2 d=0.408628 t=44500
abjj 	节日	c=1 d=0.0168231 t=44500
ad 	基	c=1 d=5.56614e-20 t=44500
addb 	基础	c=5 d=1.0497 t=44500
adgc 	甚至	c=2 d=0.100259 t=44500
adgf 	基于	c=9 d=0.909524 t=44500
adgs 	期末	c=1 d=0.116484 t=44500
adhh 	项目	c=17 d=2.65817 t=44500
adk 	若	c=4 d=0.862605 t=44500
adkh 	其中	c=3 d=0.244143 t=44500
adkn 	惹	c=1 d=2.45618e-13 t=44500
adm 	项	c=6 d=2.03199 t=44500
adnt 	藏	c=1 d=0.000154549 t=44500
adpu 	其实	c=8 d=0.697823 t=44500
adpx 	其它	c=43 d=3.0749 t=44500
adsg 	基本	c=11 d=0.830253 t=44500
adtf 	期待	c=1 d=0.535261 t=44500
aduq 	其次	c=2 d=5.30296e-09 t=44500
adw 	其	c=5 d=0.917084 t=44500
adwe 	期	c=2 d=0.242926 t=44500
ae 	菜	c=2 d=1.36118 t=44500
aet 	散	c=2 d=0.974434 t=44500
aeuj 	菜单	c=14 d=0.230657 t=44500
aff 	芏	c=1 d=0.151829 t=44500
afff 	鞋	c=3 d=0.335126 t=44500
afrv 	鞋垫	c=2 d=0.158025 t=44500
afs 	某	c=9 d=0.567122 t=44500
ag 	七	c=3 d=2.37531 t=44500
agjs 	苹果	c=5 d=0.144424 t=44500
agn 	七	c=1 d=0.946485 t=44500
agnn 	巧	c=1 d=0.185444 t=44500
ahnh 	卧	c=3 d=0.827422 t=44500
ahnm 	賢	c=1 d=0.209088 t=44500
aht 	牙	c=1 d=0.0185924 t=44500
ai 	东	c=2 d=0.494109 t=44500
aig 	薄	c=3 d=0.181403 t=44500
aige 	蔳	c=1 d=0.179066 t=44500
aihk 	落点	c=7 d=2.5433 t=44500
aiii 	落水	c=1 d=0.763379 t=44500
ailf 	范围	c=81 d=4.66848 t=44500
aisg 	东西	c=16 d=2.65449 t=44500
ait 	落	c=12 d=1.93468 t=44500
aiws 	落体	c=1 d=0.70822 t=44500
aj 	划	c=1 d=0.155673 t=44500
ajah 	蓝牙	c=3 d=2.03387 t=44500
ajat 	草莓	c=2 d=0.0108426 t=44500
