# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	56292
#@/user_id	win_work_gyyx
a 	工	c=57 d=4.73243 t=56292
aa 	式	c=5 d=0.77228 t=56292
aaqk 	匿名	c=2 d=2.05332e-23 t=56292
ab 	节	c=4 d=0.195363 t=56292
abhk 	节点	c=12 d=0.939566 t=56292
abit 	节省	c=2 d=0.408628 t=56292
abjj 	节日	c=1 d=0.0168231 t=56292
ad 	基	c=1 d=5.56614e-20 t=56292
addb 	基础	c=8 d=1.0497 t=56292
adf 	苦	c=1 d=7.69978e-14 t=56292
adgc 	甚至	c=3 d=0.100259 t=56292
adgf 	基于	c=11 d=0.909524 t=56292
adgs 	期末	c=1 d=0.116484 t=56292
adhh 	项目	c=18 d=2.65817 t=56292
adk 	若	c=4 d=0.862605 t=56292
adkh 	其中	c=3 d=0.244143 t=56292
adkn 	惹	c=1 d=2.45618e-13 t=56292
adm 	项	c=7 d=2.03199 t=56292
adnt 	藏	c=1 d=0.000154549 t=56292
adov 	基数	c=1 d=2.03047e-09 t=56292
adpu 	其实	c=10 d=0.697823 t=56292
adpx 	其它	c=52 d=3.0749 t=56292
adsg 	基本	c=16 d=0.830253 t=56292
adtf 	期待	c=1 d=0.535261 t=56292
aduq 	其次	c=3 d=5.30296e-09 t=56292
adw 	其	c=6 d=0.917084 t=56292
adwe 	期	c=5 d=0.242926 t=56292
ae 	菜	c=2 d=1.36118 t=56292
aet 	散	c=2 d=0.974434 t=56292
aeuj 	菜单	c=14 d=0.230657 t=56292
afd 	甘	c=1 d=7.62316e-14 t=56292
aff 	芏	c=1 d=0.151829 t=56292
afff 	鞋	c=4 d=0.335126 t=56292
afhx 	某些	c=1 d=1.09333e-08 t=56292
afl 	勒	c=3 d=2.88878e-07 t=56292
afrv 	鞋垫	c=2 d=0.158025 t=56292
afs 	某	c=16 d=0.895775 t=56292
aftk 	某种	c=1 d=0.0944202 t=56292
ag 	七	c=3 d=2.37531 t=56292
age 	莆	c=6 d=6.6292e-08 t=56292
agjs 	苹果	c=5 d=0.144424 t=56292
agn 	七	c=1 d=0.946485 t=56292
agnn 	巧	c=1 d=0.185444 t=56292
